len(selected_patterns):1; curr precision: 1.0; curr recall: 0.0195; curr f1: 0.0383; curr tp: 2387; curr fp: 0; curr fn: 119860; curr tn: 1385277; precision of pattern: 1.0; tp, abs. recall of pattern: 2387; pattern: _OTOKEN_delicious; pattern type: l0
len(selected_patterns):2; curr precision: 0.9987; curr recall: 0.032; curr f1: 0.0621; curr tp: 3915; curr fp: 5; curr fn: 118332; curr tn: 1385272; precision of pattern: 0.9968; tp, abs. recall of pattern: 1528; pattern: _OTOKEN_amazing; pattern type: l0
len(selected_patterns):3; curr precision: 0.9982; curr recall: 0.0406; curr f1: 0.0779; curr tp: 4958; curr fp: 9; curr fn: 117289; curr tn: 1385268; precision of pattern: 1.0; tp, abs. recall of pattern: 1043; pattern: _OTOKEN_tasty; pattern type: l0
len(selected_patterns):4; curr precision: 0.9985; curr recall: 0.0486; curr f1: 0.0926; curr tp: 5936; curr fp: 9; curr fn: 116311; curr tn: 1385268; precision of pattern: 0.9956; tp, abs. recall of pattern: 978; pattern: _OTOKEN_excellent; pattern type: l0
len(selected_patterns):5; curr precision: 0.9985; curr recall: 0.0555; curr f1: 0.1051; curr tp: 6781; curr fp: 10; curr fn: 115466; curr tn: 1385267; precision of pattern: 1.0; tp, abs. recall of pattern: 845; pattern: _OTOKEN_awesome; pattern type: l0
len(selected_patterns):6; curr precision: 0.9986; curr recall: 0.0597; curr f1: 0.1127; curr tp: 7304; curr fp: 10; curr fn: 114943; curr tn: 1385267; precision of pattern: 1.0; tp, abs. recall of pattern: 523; pattern: _OTOKEN_fantastic; pattern type: l0
len(selected_patterns):7; curr precision: 0.9986; curr recall: 0.0635; curr f1: 0.1193; curr tp: 7758; curr fp: 11; curr fn: 114489; curr tn: 1385266; precision of pattern: 1.0; tp, abs. recall of pattern: 454; pattern: _OTOKEN_attentive; pattern type: l0
len(selected_patterns):8; curr precision: 0.9984; curr recall: 0.0668; curr f1: 0.1252; curr tp: 8163; curr fp: 13; curr fn: 114084; curr tn: 1385264; precision of pattern: 1.0; tp, abs. recall of pattern: 405; pattern: _OTOKEN_yummy; pattern type: l0
len(selected_patterns):9; curr precision: 0.9984; curr recall: 0.0699; curr f1: 0.1306; curr tp: 8540; curr fp: 14; curr fn: 113707; curr tn: 1385263; precision of pattern: 1.0; tp, abs. recall of pattern: 377; pattern: _OTOKEN_flavorful; pattern type: l0
len(selected_patterns):10; curr precision: 0.9983; curr recall: 0.0726; curr f1: 0.1353; curr tp: 8873; curr fp: 15; curr fn: 113374; curr tn: 1385262; precision of pattern: 1.0; tp, abs. recall of pattern: 333; pattern: _OTOKEN_bland; pattern type: l0
len(selected_patterns):11; curr precision: 0.998; curr recall: 0.0752; curr f1: 0.1399; curr tp: 9194; curr fp: 18; curr fn: 113053; curr tn: 1385259; precision of pattern: 1.0; tp, abs. recall of pattern: 321; pattern: _OTOKEN_reasonable; pattern type: l0
len(selected_patterns):12; curr precision: 0.9979; curr recall: 0.0774; curr f1: 0.1436; curr tp: 9458; curr fp: 20; curr fn: 112789; curr tn: 1385257; precision of pattern: 1.0; tp, abs. recall of pattern: 264; pattern: _OTOKEN_helpful; pattern type: l0
len(selected_patterns):13; curr precision: 0.9976; curr recall: 0.0795; curr f1: 0.1472; curr tp: 9716; curr fp: 23; curr fn: 112531; curr tn: 1385254; precision of pattern: 1.0; tp, abs. recall of pattern: 258; pattern: _OTOKEN_beautiful; pattern type: l0
len(selected_patterns):14; curr precision: 0.9973; curr recall: 0.0815; curr f1: 0.1508; curr tp: 9968; curr fp: 27; curr fn: 112279; curr tn: 1385250; precision of pattern: 1.0; tp, abs. recall of pattern: 252; pattern: _OTOKEN_terrible; pattern type: l0
len(selected_patterns):15; curr precision: 0.9962; curr recall: 0.0835; curr f1: 0.1541; curr tp: 10211; curr fp: 39; curr fn: 112036; curr tn: 1385238; precision of pattern: 1.0; tp, abs. recall of pattern: 243; pattern: _OTOKEN_rude; pattern type: l0
len(selected_patterns):16; curr precision: 0.9958; curr recall: 0.0852; curr f1: 0.157; curr tp: 10419; curr fp: 44; curr fn: 111828; curr tn: 1385233; precision of pattern: 1.0; tp, abs. recall of pattern: 208; pattern: _OTOKEN_disappointing; pattern type: l0
len(selected_patterns):17; curr precision: 0.9959; curr recall: 0.0869; curr f1: 0.1599; curr tp: 10625; curr fp: 44; curr fn: 111622; curr tn: 1385233; precision of pattern: 1.0; tp, abs. recall of pattern: 206; pattern: _OTOKEN_mediocre; pattern type: l0
len(selected_patterns):18; curr precision: 0.9959; curr recall: 0.0885; curr f1: 0.1625; curr tp: 10817; curr fp: 45; curr fn: 111430; curr tn: 1385232; precision of pattern: 1.0; tp, abs. recall of pattern: 192; pattern: _OTOKEN_outstanding; pattern type: l0
len(selected_patterns):19; curr precision: 0.9956; curr recall: 0.0901; curr f1: 0.1652; curr tp: 11009; curr fp: 49; curr fn: 111238; curr tn: 1385228; precision of pattern: 1.0; tp, abs. recall of pattern: 192; pattern: _OTOKEN_generous; pattern type: l0
len(selected_patterns):20; curr precision: 0.9955; curr recall: 0.0916; curr f1: 0.1677; curr tp: 11193; curr fp: 51; curr fn: 111054; curr tn: 1385226; precision of pattern: 1.0; tp, abs. recall of pattern: 184; pattern: _OTOKEN_incredible; pattern type: l0
