len(selected_patterns):1; curr precision: 0.9945; curr recall: 0.014; curr f1: 0.0276; curr tp: 2157; curr fp: 12; curr fn: 152008; curr tn: 1353347; precision of pattern: 0.9959; tp, abs. recall of pattern: 2157; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):2; curr precision: 0.9947; curr recall: 0.0218; curr f1: 0.0426; curr tp: 3355; curr fp: 18; curr fn: 150810; curr tn: 1353341; precision of pattern: 1.0; tp, abs. recall of pattern: 1198; pattern: ('PROX_near1', '_ATOKEN_food', 'TOKEN_is'); pattern type: l1
len(selected_patterns):3; curr precision: 0.9947; curr recall: 0.0219; curr f1: 0.0429; curr tp: 3383; curr fp: 18; curr fn: 150782; curr tn: 1353341; precision of pattern: 1.0; tp, abs. recall of pattern: 1186; pattern: ('PROX_near1', '_ATOKEN_service', 'TOKEN_was'); pattern type: l1
len(selected_patterns):4; curr precision: 0.9951; curr recall: 0.0264; curr f1: 0.0514; curr tp: 4070; curr fp: 20; curr fn: 150095; curr tn: 1353339; precision of pattern: 1.0; tp, abs. recall of pattern: 699; pattern: ('SRL_none', 'WORD', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):5; curr precision: 0.995; curr recall: 0.0285; curr f1: 0.0554; curr tp: 4396; curr fp: 22; curr fn: 149769; curr tn: 1353337; precision of pattern: 1.0; tp, abs. recall of pattern: 566; pattern: ('DEP_nsubj', 'TOKEN_good', '_ATOKEN_food'); pattern type: l1
len(selected_patterns):6; curr precision: 0.9947; curr recall: 0.0293; curr f1: 0.0569; curr tp: 4516; curr fp: 24; curr fn: 149649; curr tn: 1353335; precision of pattern: 1.0; tp, abs. recall of pattern: 404; pattern: ('PROX_near2', 'TOKEN_and', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):7; curr precision: 0.9941; curr recall: 0.0317; curr f1: 0.0614; curr tp: 4883; curr fp: 29; curr fn: 149282; curr tn: 1353330; precision of pattern: 1.0; tp, abs. recall of pattern: 367; pattern: _ATOKEN_decor; pattern type: l0
len(selected_patterns):8; curr precision: 0.9941; curr recall: 0.0338; curr f1: 0.0654; curr tp: 5213; curr fp: 31; curr fn: 148952; curr tn: 1353328; precision of pattern: 1.0; tp, abs. recall of pattern: 331; pattern: ('DEP_amod', '_ATOKEN_food', 'TOKEN_great'); pattern type: l1
len(selected_patterns):9; curr precision: 0.9942; curr recall: 0.0344; curr f1: 0.0665; curr tp: 5307; curr fp: 31; curr fn: 148858; curr tn: 1353328; precision of pattern: 1.0; tp, abs. recall of pattern: 330; pattern: ('PROX_near2', 'TOKEN_,', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):10; curr precision: 0.9941; curr recall: 0.0348; curr f1: 0.0672; curr tp: 5364; curr fp: 32; curr fn: 148801; curr tn: 1353327; precision of pattern: 1.0; tp, abs. recall of pattern: 312; pattern: ('PROX_near2', '_ATOKEN_food', 'TOKEN_good'); pattern type: l1
len(selected_patterns):11; curr precision: 0.9943; curr recall: 0.0362; curr f1: 0.0699; curr tp: 5582; curr fp: 32; curr fn: 148583; curr tn: 1353327; precision of pattern: 1.0; tp, abs. recall of pattern: 307; pattern: ('DEP_conj', '_ATOKEN_food', 'TOKEN_service'); pattern type: l1
len(selected_patterns):12; curr precision: 0.9939; curr recall: 0.0382; curr f1: 0.0736; curr tp: 5889; curr fp: 36; curr fn: 148276; curr tn: 1353323; precision of pattern: 1.0; tp, abs. recall of pattern: 307; pattern: ('DEP_nsubj', 'WORD', '_ATOKEN_chicken'); pattern type: l1
len(selected_patterns):13; curr precision: 0.994; curr recall: 0.0389; curr f1: 0.0749; curr tp: 6000; curr fp: 36; curr fn: 148165; curr tn: 1353323; precision of pattern: 1.0; tp, abs. recall of pattern: 306; pattern: ('DEP_conj', 'TOKEN_food', '_ATOKEN_service'); pattern type: l1
len(selected_patterns):14; curr precision: 0.9943; curr recall: 0.0409; curr f1: 0.0786; curr tp: 6304; curr fp: 36; curr fn: 147861; curr tn: 1353323; precision of pattern: 1.0; tp, abs. recall of pattern: 304; pattern: ('PROX_near1', '_ATOKEN_staff', 'TOKEN_is'); pattern type: l1
len(selected_patterns):15; curr precision: 0.9933; curr recall: 0.0425; curr f1: 0.0815; curr tp: 6553; curr fp: 44; curr fn: 147612; curr tn: 1353315; precision of pattern: 1.0; tp, abs. recall of pattern: 300; pattern: ('DEP_compound', '_ATOKEN_chicken', 'WORD'); pattern type: l1
len(selected_patterns):16; curr precision: 0.9933; curr recall: 0.0444; curr f1: 0.085; curr tp: 6849; curr fp: 46; curr fn: 147316; curr tn: 1353313; precision of pattern: 1.0; tp, abs. recall of pattern: 296; pattern: ('DEP_punct', '_ATOKEN_atmosphere', 'WORD'); pattern type: l1
len(selected_patterns):17; curr precision: 0.9932; curr recall: 0.0456; curr f1: 0.0872; curr tp: 7027; curr fp: 48; curr fn: 147138; curr tn: 1353311; precision of pattern: 1.0; tp, abs. recall of pattern: 294; pattern: ('PROX_near2', 'TOKEN_the', '_ATOKEN_chicken'); pattern type: l1
len(selected_patterns):18; curr precision: 0.9932; curr recall: 0.0456; curr f1: 0.0872; curr tp: 7034; curr fp: 48; curr fn: 147131; curr tn: 1353311; precision of pattern: 1.0; tp, abs. recall of pattern: 292; pattern: ('PROX_near1', 'TOKEN_great', '_ATOKEN_food'); pattern type: l1
len(selected_patterns):19; curr precision: 0.9934; curr recall: 0.0467; curr f1: 0.0892; curr tp: 7199; curr fp: 48; curr fn: 146966; curr tn: 1353311; precision of pattern: 1.0; tp, abs. recall of pattern: 287; pattern: ('DEP_nsubj', 'TOKEN_friendly', '_ATOKEN_staff'); pattern type: l1
len(selected_patterns):20; curr precision: 0.9935; curr recall: 0.0477; curr f1: 0.091; curr tp: 7348; curr fp: 48; curr fn: 146817; curr tn: 1353311; precision of pattern: 1.0; tp, abs. recall of pattern: 276; pattern: ('PROX_near2', '_ATOKEN_food', 'TOKEN_great'); pattern type: l1
len(selected_patterns):21; curr precision: 0.9935; curr recall: 0.0494; curr f1: 0.0941; curr tp: 7614; curr fp: 50; curr fn: 146551; curr tn: 1353309; precision of pattern: 1.0; tp, abs. recall of pattern: 266; pattern: ('PROX_near1', 'WORD', '_ATOKEN_ambiance'); pattern type: l1
len(selected_patterns):22; curr precision: 0.9932; curr recall: 0.0511; curr f1: 0.0972; curr tp: 7878; curr fp: 54; curr fn: 146287; curr tn: 1353305; precision of pattern: 1.0; tp, abs. recall of pattern: 264; pattern: ('DEP_compound', '_ATOKEN_tacos', 'WORD'); pattern type: l1
len(selected_patterns):23; curr precision: 0.9933; curr recall: 0.0517; curr f1: 0.0982; curr tp: 7963; curr fp: 54; curr fn: 146202; curr tn: 1353305; precision of pattern: 1.0; tp, abs. recall of pattern: 251; pattern: ('PROX_near1', 'TOKEN_great', '_ATOKEN_service'); pattern type: l1
