len(selected_patterns):1; curr precision: 0.9958; curr recall: 0.0108; curr f1: 0.0214; curr tp: 1178; curr fp: 5; curr fn: 107973; curr tn: 1563173; precision of pattern: 0.9963; tp, abs. recall of pattern: 1178; pattern: _OTOKEN_perfect; pattern type: l0
len(selected_patterns):2; curr precision: 0.9977; curr recall: 0.0197; curr f1: 0.0386; curr tp: 2147; curr fp: 5; curr fn: 107004; curr tn: 1563173; precision of pattern: 1.0; tp, abs. recall of pattern: 969; pattern: _OTOKEN_excellent; pattern type: l0
len(selected_patterns):3; curr precision: 0.9953; curr recall: 0.0252; curr f1: 0.0492; curr tp: 2754; curr fp: 13; curr fn: 106397; curr tn: 1563165; precision of pattern: 1.0; tp, abs. recall of pattern: 607; pattern: _OTOKEN_amazing; pattern type: l0
len(selected_patterns):4; curr precision: 0.994; curr recall: 0.0275; curr f1: 0.0536; curr tp: 3004; curr fp: 18; curr fn: 106147; curr tn: 1563160; precision of pattern: 1.0; tp, abs. recall of pattern: 250; pattern: _OTOKEN_fantastic; pattern type: l0
len(selected_patterns):5; curr precision: 0.9927; curr recall: 0.0297; curr f1: 0.0578; curr tp: 3247; curr fp: 24; curr fn: 105904; curr tn: 1563154; precision of pattern: 1.0; tp, abs. recall of pattern: 243; pattern: _OTOKEN_difficult; pattern type: l0
len(selected_patterns):6; curr precision: 0.9928; curr recall: 0.0317; curr f1: 0.0615; curr tp: 3463; curr fp: 25; curr fn: 105688; curr tn: 1563153; precision of pattern: 1.0; tp, abs. recall of pattern: 216; pattern: _OTOKEN_terrible; pattern type: l0
len(selected_patterns):7; curr precision: 0.9926; curr recall: 0.0333; curr f1: 0.0644; curr tp: 3635; curr fp: 27; curr fn: 105516; curr tn: 1563151; precision of pattern: 1.0; tp, abs. recall of pattern: 172; pattern: _OTOKEN_horrible; pattern type: l0
len(selected_patterns):8; curr precision: 0.9895; curr recall: 0.0347; curr f1: 0.067; curr tp: 3786; curr fp: 40; curr fn: 105365; curr tn: 1563138; precision of pattern: 1.0; tp, abs. recall of pattern: 151; pattern: _OTOKEN_worse; pattern type: l0
len(selected_patterns):9; curr precision: 0.9899; curr recall: 0.0361; curr f1: 0.0696; curr tp: 3936; curr fp: 40; curr fn: 105215; curr tn: 1563138; precision of pattern: 1.0; tp, abs. recall of pattern: 150; pattern: _OTOKEN_smoothly; pattern type: l0
len(selected_patterns):10; curr precision: 0.99; curr recall: 0.0373; curr f1: 0.0719; curr tp: 4070; curr fp: 41; curr fn: 105081; curr tn: 1563137; precision of pattern: 1.0; tp, abs. recall of pattern: 134; pattern: _OTOKEN_impressive; pattern type: l0
len(selected_patterns):11; curr precision: 0.9903; curr recall: 0.0384; curr f1: 0.074; curr tp: 4196; curr fp: 41; curr fn: 104955; curr tn: 1563137; precision of pattern: 1.0; tp, abs. recall of pattern: 126; pattern: _OTOKEN_adequate; pattern type: l0
len(selected_patterns):12; curr precision: 0.9904; curr recall: 0.0396; curr f1: 0.0761; curr tp: 4319; curr fp: 42; curr fn: 104832; curr tn: 1563136; precision of pattern: 1.0; tp, abs. recall of pattern: 123; pattern: _OTOKEN_crisp; pattern type: l0
len(selected_patterns):13; curr precision: 0.9902; curr recall: 0.0407; curr f1: 0.0781; curr tp: 4439; curr fp: 44; curr fn: 104712; curr tn: 1563134; precision of pattern: 1.0; tp, abs. recall of pattern: 120; pattern: _OTOKEN_convenient; pattern type: l0
len(selected_patterns):14; curr precision: 0.9898; curr recall: 0.0417; curr f1: 0.0801; curr tp: 4555; curr fp: 47; curr fn: 104596; curr tn: 1563131; precision of pattern: 1.0; tp, abs. recall of pattern: 116; pattern: _OTOKEN_nicely; pattern type: l0
len(selected_patterns):15; curr precision: 0.99; curr recall: 0.0428; curr f1: 0.082; curr tp: 4670; curr fp: 47; curr fn: 104481; curr tn: 1563131; precision of pattern: 1.0; tp, abs. recall of pattern: 115; pattern: _OTOKEN_flawlessly; pattern type: l0
len(selected_patterns):16; curr precision: 0.9901; curr recall: 0.0438; curr f1: 0.0839; curr tp: 4781; curr fp: 48; curr fn: 104370; curr tn: 1563130; precision of pattern: 1.0; tp, abs. recall of pattern: 111; pattern: _OTOKEN_awful; pattern type: l0
len(selected_patterns):17; curr precision: 0.9891; curr recall: 0.0448; curr f1: 0.0857; curr tp: 4889; curr fp: 54; curr fn: 104262; curr tn: 1563124; precision of pattern: 1.0; tp, abs. recall of pattern: 108; pattern: _OTOKEN_weird; pattern type: l0
len(selected_patterns):18; curr precision: 0.9893; curr recall: 0.0457; curr f1: 0.0874; curr tp: 4993; curr fp: 54; curr fn: 104158; curr tn: 1563124; precision of pattern: 1.0; tp, abs. recall of pattern: 104; pattern: _OTOKEN_disappointing; pattern type: l0
len(selected_patterns):19; curr precision: 0.9895; curr recall: 0.0466; curr f1: 0.0891; curr tp: 5091; curr fp: 54; curr fn: 104060; curr tn: 1563124; precision of pattern: 1.0; tp, abs. recall of pattern: 98; pattern: _OTOKEN_outstanding; pattern type: l0
len(selected_patterns):20; curr precision: 0.9897; curr recall: 0.0475; curr f1: 0.0907; curr tp: 5187; curr fp: 54; curr fn: 103964; curr tn: 1563124; precision of pattern: 1.0; tp, abs. recall of pattern: 96; pattern: _OTOKEN_acceptable; pattern type: l0
len(selected_patterns):21; curr precision: 0.9899; curr recall: 0.0483; curr f1: 0.0921; curr tp: 5273; curr fp: 54; curr fn: 103878; curr tn: 1563124; precision of pattern: 1.0; tp, abs. recall of pattern: 86; pattern: _OTOKEN_superior; pattern type: l0
len(selected_patterns):22; curr precision: 0.9897; curr recall: 0.0491; curr f1: 0.0935; curr tp: 5357; curr fp: 56; curr fn: 103794; curr tn: 1563122; precision of pattern: 1.0; tp, abs. recall of pattern: 84; pattern: _OTOKEN_improved; pattern type: l0
len(selected_patterns):23; curr precision: 0.9885; curr recall: 0.0498; curr f1: 0.0948; curr tp: 5434; curr fp: 63; curr fn: 103717; curr tn: 1563115; precision of pattern: 1.0; tp, abs. recall of pattern: 77; pattern: _OTOKEN_efficient; pattern type: l0
