len(selected_patterns):1; curr precision: 0.9738; curr recall: 0.0103; curr f1: 0.0203; curr tp: 1599; curr fp: 43; curr fn: 154035; curr tn: 1516652; precision of pattern: 0.9859; tp, abs. recall of pattern: 1599; pattern: _ASYNSET('REWARD.N.04'); pattern type: l0
len(selected_patterns):2; curr precision: 0.9794; curr recall: 0.0149; curr f1: 0.0294; curr tp: 2326; curr fp: 49; curr fn: 153308; curr tn: 1516646; precision of pattern: 0.9934; tp, abs. recall of pattern: 727; pattern: _ASYNSET('VOLATILE_STORAGE.N.01'); pattern type: l0
len(selected_patterns):3; curr precision: 0.9819; curr recall: 0.0181; curr f1: 0.0355; curr tp: 2816; curr fp: 52; curr fn: 152818; curr tn: 1516643; precision of pattern: 0.9918; tp, abs. recall of pattern: 490; pattern: _ASYNSET('ASSAULT.N.02'); pattern type: l0
len(selected_patterns):4; curr precision: 0.9738; curr recall: 0.0263; curr f1: 0.0512; curr tp: 4095; curr fp: 110; curr fn: 151539; curr tn: 1516585; precision of pattern: 0.9701; tp, abs. recall of pattern: 1279; pattern: _ASYNSET('TEAM.N.01'); pattern type: l0
len(selected_patterns):5; curr precision: 0.9764; curr recall: 0.0303; curr f1: 0.0587; curr tp: 4713; curr fp: 114; curr fn: 150921; curr tn: 1516581; precision of pattern: 0.9581; tp, abs. recall of pattern: 618; pattern: _ASYNSET('COGNITIVE_PSYCHOLOGY.N.01'); pattern type: l0
len(selected_patterns):6; curr precision: 0.9738; curr recall: 0.0364; curr f1: 0.0701; curr tp: 5658; curr fp: 152; curr fn: 149976; curr tn: 1516543; precision of pattern: 0.9545; tp, abs. recall of pattern: 945; pattern: _ASYNSET('VISUAL_PERCEPT.N.01'); pattern type: l0
len(selected_patterns):7; curr precision: 0.9582; curr recall: 0.0591; curr f1: 0.1113; curr tp: 9191; curr fp: 401; curr fn: 146443; curr tn: 1516294; precision of pattern: 0.9414; tp, abs. recall of pattern: 3533; pattern: _ASYNSET('DOOR.N.01'); pattern type: l0
len(selected_patterns):8; curr precision: 0.9584; curr recall: 0.0627; curr f1: 0.1176; curr tp: 9753; curr fp: 423; curr fn: 145881; curr tn: 1516272; precision of pattern: 0.9333; tp, abs. recall of pattern: 562; pattern: _ASYNSET('PROPERTY.N.04'); pattern type: l0
len(selected_patterns):9; curr precision: 0.9548; curr recall: 0.0659; curr f1: 0.1234; curr tp: 10263; curr fp: 486; curr fn: 145371; curr tn: 1516209; precision of pattern: 0.9272; tp, abs. recall of pattern: 510; pattern: _ASYNSET('WIRELESS.A.01'); pattern type: l0
len(selected_patterns):10; curr precision: 0.9471; curr recall: 0.0776; curr f1: 0.1435; curr tp: 12081; curr fp: 675; curr fn: 143553; curr tn: 1516020; precision of pattern: 0.9204; tp, abs. recall of pattern: 1818; pattern: _ASYNSET('DISPLAY.N.06'); pattern type: l0
len(selected_patterns):11; curr precision: 0.9455; curr recall: 0.0807; curr f1: 0.1487; curr tp: 12557; curr fp: 724; curr fn: 143077; curr tn: 1515971; precision of pattern: 0.9189; tp, abs. recall of pattern: 476; pattern: _ASYNSET('SOFTWARE.N.01'); pattern type: l0
len(selected_patterns):12; curr precision: 0.9443; curr recall: 0.0877; curr f1: 0.1605; curr tp: 13654; curr fp: 806; curr fn: 141980; curr tn: 1515889; precision of pattern: 0.9129; tp, abs. recall of pattern: 1097; pattern: _ASYNSET('ELECTRONIC_DEVICE.N.01'); pattern type: l0
len(selected_patterns):13; curr precision: 0.9415; curr recall: 0.0913; curr f1: 0.1664; curr tp: 14206; curr fp: 882; curr fn: 141428; curr tn: 1515813; precision of pattern: 0.9055; tp, abs. recall of pattern: 552; pattern: _ASYNSET('SOUND_PROPERTY.N.01'); pattern type: l0
len(selected_patterns):14; curr precision: 0.9379; curr recall: 0.1023; curr f1: 0.1844; curr tp: 15914; curr fp: 1054; curr fn: 139720; curr tn: 1515641; precision of pattern: 0.8959; tp, abs. recall of pattern: 1708; pattern: _ASYNSET('CODE.N.03'); pattern type: l0
len(selected_patterns):15; curr precision: 0.9368; curr recall: 0.1068; curr f1: 0.1918; curr tp: 16627; curr fp: 1122; curr fn: 139007; curr tn: 1515573; precision of pattern: 0.8864; tp, abs. recall of pattern: 713; pattern: _ASYNSET('CHEMICAL_ELEMENT.N.01'); pattern type: l0
len(selected_patterns):16; curr precision: 0.9348; curr recall: 0.1105; curr f1: 0.1977; curr tp: 17201; curr fp: 1199; curr fn: 138433; curr tn: 1515496; precision of pattern: 0.8795; tp, abs. recall of pattern: 574; pattern: _ASYNSET('LINUX.N.01'); pattern type: l0
len(selected_patterns):17; curr precision: 0.9335; curr recall: 0.1132; curr f1: 0.2019; curr tp: 17620; curr fp: 1256; curr fn: 138014; curr tn: 1515439; precision of pattern: 0.8783; tp, abs. recall of pattern: 419; pattern: _ASYNSET('FRAMEWORK.N.03'); pattern type: l0
len(selected_patterns):18; curr precision: 0.9279; curr recall: 0.1197; curr f1: 0.2121; curr tp: 18630; curr fp: 1448; curr fn: 137004; curr tn: 1515247; precision of pattern: 0.8625; tp, abs. recall of pattern: 1010; pattern: _ASYNSET('ELECTRONIC_EQUIPMENT.N.01'); pattern type: l0
len(selected_patterns):19; curr precision: 0.9238; curr recall: 0.1276; curr f1: 0.2242; curr tp: 19855; curr fp: 1637; curr fn: 135779; curr tn: 1515058; precision of pattern: 0.8369; tp, abs. recall of pattern: 1225; pattern: _ASYNSET('OPENING.N.10'); pattern type: l0
len(selected_patterns):20; curr precision: 0.9207; curr recall: 0.1299; curr f1: 0.2276; curr tp: 20212; curr fp: 1741; curr fn: 135422; curr tn: 1514954; precision of pattern: 0.8265; tp, abs. recall of pattern: 357; pattern: _ASYNSET('COMPONENT.N.03'); pattern type: l0
len(selected_patterns):21; curr precision: 0.9183; curr recall: 0.1324; curr f1: 0.2315; curr tp: 20611; curr fp: 1834; curr fn: 135023; curr tn: 1514861; precision of pattern: 0.8246; tp, abs. recall of pattern: 399; pattern: _ASYNSET('UNVOICED.A.01'); pattern type: l0
