len(selected_patterns):1; curr precision: 0.9958; curr recall: 0.0108; curr f1: 0.0214; curr tp: 1178; curr fp: 5; curr fn: 107973; curr tn: 1563173; precision of pattern: 0.9963; tp, abs. recall of pattern: 1178; pattern: _OSYNSET('PERFECT.A.01'); pattern type: l0
len(selected_patterns):2; curr precision: 0.994; curr recall: 0.0212; curr f1: 0.0414; curr tp: 2309; curr fp: 14; curr fn: 106842; curr tn: 1563164; precision of pattern: 1.0; tp, abs. recall of pattern: 1131; pattern: ('PROX_near1', "_OSYNSET('EASY.A.03')", 'POS_TO'); pattern type: l1
len(selected_patterns):3; curr precision: 0.994; curr recall: 0.0212; curr f1: 0.0415; curr tp: 2314; curr fp: 14; curr fn: 106837; curr tn: 1563164; precision of pattern: 1.0; tp, abs. recall of pattern: 1122; pattern: ('PROX_near2', "_OSYNSET('EASY.A.03')", 'POS_VB'); pattern type: l1
len(selected_patterns):4; curr precision: 0.9941; curr recall: 0.0246; curr f1: 0.0479; curr tp: 2680; curr fp: 16; curr fn: 106471; curr tn: 1563162; precision of pattern: 0.996; tp, abs. recall of pattern: 1111; pattern: ('SRL_arg2', 'WORD', "_OSYNSET('EASY.A.03')"); pattern type: l1
len(selected_patterns):5; curr precision: 0.9947; curr recall: 0.0324; curr f1: 0.0628; curr tp: 3537; curr fp: 19; curr fn: 105614; curr tn: 1563159; precision of pattern: 1.0; tp, abs. recall of pattern: 857; pattern: ('DEP_advmod', "_OSYNSET('GOOD.A.03')", 'WORD'); pattern type: l1
len(selected_patterns):6; curr precision: 0.9947; curr recall: 0.0327; curr f1: 0.0633; curr tp: 3569; curr fp: 19; curr fn: 105582; curr tn: 1563159; precision of pattern: 1.0; tp, abs. recall of pattern: 781; pattern: ('DEP_punct', "_OSYNSET('EASY.A.03')", 'WORD'); pattern type: l1
len(selected_patterns):7; curr precision: 0.9945; curr recall: 0.0349; curr f1: 0.0674; curr tp: 3810; curr fp: 21; curr fn: 105341; curr tn: 1563157; precision of pattern: 1.0; tp, abs. recall of pattern: 650; pattern: ('DEP_root', 'WORD', "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):8; curr precision: 0.9946; curr recall: 0.0408; curr f1: 0.0783; curr tp: 4449; curr fp: 24; curr fn: 104702; curr tn: 1563154; precision of pattern: 1.0; tp, abs. recall of pattern: 639; pattern: ('PROX_near1', "_OSYNSET('NICE.A.01')", 'POS_NN'); pattern type: l1
len(selected_patterns):9; curr precision: 0.9935; curr recall: 0.0436; curr f1: 0.0835; curr tp: 4755; curr fp: 31; curr fn: 104396; curr tn: 1563147; precision of pattern: 1.0; tp, abs. recall of pattern: 608; pattern: ('SRL_none', 'WORD', "_OSYNSET('GOOD.A.03')"); pattern type: l1
len(selected_patterns):10; curr precision: 0.9936; curr recall: 0.0438; curr f1: 0.084; curr tp: 4786; curr fp: 31; curr fn: 104365; curr tn: 1563147; precision of pattern: 1.0; tp, abs. recall of pattern: 607; pattern: ('DEP_punct', "_OSYNSET('GOOD.A.03')", 'WORD'); pattern type: l1
len(selected_patterns):11; curr precision: 0.9931; curr recall: 0.0478; curr f1: 0.0912; curr tp: 5218; curr fp: 36; curr fn: 103933; curr tn: 1563142; precision of pattern: 1.0; tp, abs. recall of pattern: 603; pattern: ('DEP_advmod', "_OSYNSET('NICE.A.01')", 'WORD'); pattern type: l1
len(selected_patterns):12; curr precision: 0.9932; curr recall: 0.0482; curr f1: 0.092; curr tp: 5263; curr fp: 36; curr fn: 103888; curr tn: 1563142; precision of pattern: 1.0; tp, abs. recall of pattern: 591; pattern: ('DEP_advmod', "_OSYNSET('EASY.A.03')", 'WORD'); pattern type: l1
len(selected_patterns):13; curr precision: 0.9933; curr recall: 0.0487; curr f1: 0.0929; curr tp: 5320; curr fp: 36; curr fn: 103831; curr tn: 1563142; precision of pattern: 1.0; tp, abs. recall of pattern: 585; pattern: ('DEP_cop', "_OSYNSET('GOOD.A.03')", 'WORD'); pattern type: l1
len(selected_patterns):14; curr precision: 0.9931; curr recall: 0.049; curr f1: 0.0933; curr tp: 5343; curr fp: 37; curr fn: 103808; curr tn: 1563141; precision of pattern: 1.0; tp, abs. recall of pattern: 570; pattern: ('DEP_conj', 'WORD', "_OSYNSET('EASY.A.03')"); pattern type: l1
len(selected_patterns):15; curr precision: 0.9935; curr recall: 0.0514; curr f1: 0.0978; curr tp: 5613; curr fp: 37; curr fn: 103538; curr tn: 1563141; precision of pattern: 1.0; tp, abs. recall of pattern: 501; pattern: ('DEP_root', 'WORD', "_OSYNSET('NICE.A.01')"); pattern type: l1
len(selected_patterns):16; curr precision: 0.9933; curr recall: 0.0514; curr f1: 0.0978; curr tp: 5614; curr fp: 38; curr fn: 103537; curr tn: 1563140; precision of pattern: 1.0; tp, abs. recall of pattern: 464; pattern: ('DEP_punct', "_OSYNSET('NICE.A.01')", 'POS_.'); pattern type: l1
